gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
ZNF667-AS1,864,ZNF667-AS1,OK,treatmentcontrol,-5.528633266,0.772473434,-7.157052944,1.03E-12,-5.425342498,count,3.38E-08
NEUROD2,277,NEUROD2,OK,treatmentcontrol,-3.444614178,0.450384002,-7.648171704,2.73E-14,-4.431602642,count,9.03E-10
SCG2,447,SCG2,OK,treatmentcontrol,-2.859090841,0.372805416,-7.669123672,2.33E-14,-3.843495372,count,7.70E-10
COMT,503,COMT,OK,treatmentcontrol,-3.226718346,0.335539358,-9.616512261,1.40E-21,-3.714612937,count,4.76E-17
GNB3,266,GNB3,OK,treatmentcontrol,-2.938048355,0.471925138,-6.225666146,5.47E-10,-3.670587811,count,1.75E-05
LINC01551,235,LINC01551,OK,treatmentcontrol,-3.238710788,0.444810181,-7.281107605,4.22E-13,-3.575214269,count,1.38E-08
CRABP2,344,CRABP2,OK,treatmentcontrol,-3.021345149,0.398172938,-7.588022338,4.32E-14,-3.544805976,count,1.42E-09
FOXG1,345,FOXG1,OK,treatmentcontrol,-2.837650973,0.305423739,-9.290865814,2.87E-20,-3.50494626,count,9.74E-16
ELAVL4,263,ELAVL4,OK,treatmentcontrol,-3.201116,0.481557357,-6.647424146,3.53E-11,-3.423495709,count,1.14E-06
AC006115.2,302,AC006115.2,OK,treatmentcontrol,-3.368925427,0.555118667,-6.068838295,1.45E-09,-3.375728506,count,4.62E-05
ID3,320,ID3,OK,treatmentcontrol,-2.553012828,0.420545456,-6.070717905,1.43E-09,-3.317207617,count,4.57E-05
NFIX,276,NFIX,OK,treatmentcontrol,-2.559874429,0.293689223,-8.716269547,4.69E-18,-3.092187099,count,1.58E-13
NFIB,415,NFIB,OK,treatmentcontrol,-2.220352968,0.206112994,-10.77250359,1.43E-26,-3.067795413,count,4.92E-22
CIB1,417,CIB1,OK,treatmentcontrol,-2.436283877,0.250596377,-9.721943717,5.15E-22,-2.971849559,count,1.76E-17
ZNF439,246,ZNF439,OK,treatmentcontrol,-3.187765965,0.568423423,-5.608083408,2.23E-08,-2.937689343,count,0.000700541
VGF,510,VGF,OK,treatmentcontrol,-2.205572374,0.242163643,-9.107776649,1.50E-19,-2.933431256,count,5.09E-15
TAGLN2,365,TAGLN2,OK,treatmentcontrol,-2.401470234,0.306263981,-7.841177502,6.17E-15,-2.923861503,count,2.04E-10
TIMP1,289,TIMP1,OK,treatmentcontrol,-2.459669677,0.347948873,-7.069054872,1.94E-12,-2.85899141,count,6.31E-08
LY6E,261,LY6E,OK,treatmentcontrol,-2.544961264,0.308054447,-8.261400819,2.14E-16,-2.841056133,count,7.15E-12
UNC119,705,UNC119,OK,treatmentcontrol,-2.055554545,0.206047299,-9.976129545,4.45E-23,-2.830274672,count,1.52E-18
SSTR2,351,SSTR2,OK,treatmentcontrol,-2.195974314,0.244181984,-8.993187273,4.18E-19,-2.817123147,count,1.41E-14
RBM3,1373,RBM3,OK,treatmentcontrol,-1.981511177,0.089870195,-22.04859116,6.58E-100,-2.794465181,count,2.39E-95
ID1,364,ID1,OK,treatmentcontrol,-2.165437003,0.338121194,-6.404321998,1.75E-10,-2.784003778,count,5.62E-06
C1orf61,529,C1orf61,OK,treatmentcontrol,-2.027008843,0.202393457,-10.01518958,3.04E-23,-2.781999116,count,1.04E-18
INAFM1,542,INAFM1,OK,treatmentcontrol,-2.138290726,0.197763951,-10.81233822,9.40E-27,-2.755067491,count,3.25E-22
MRPL23,368,MRPL23,OK,treatmentcontrol,-2.315775509,0.260031998,-8.905732864,9.04E-19,-2.729195563,count,3.05E-14
RPS26,1977,RPS26,OK,treatmentcontrol,-1.904748892,0.068649687,-27.74592235,7.07E-151,-2.727321722,count,2.58E-146
NEUROD1,411,NEUROD1,OK,treatmentcontrol,-1.924859229,0.221355279,-8.69579095,5.60E-18,-2.584217036,count,1.88E-13
RHOC,284,RHOC,OK,treatmentcontrol,-2.11325125,0.304201487,-6.946880083,4.57E-12,-2.550422697,count,1.49E-07
MGAT4B,589,MGAT4B,OK,treatmentcontrol,-1.899790145,0.161693657,-11.74931772,3.45E-31,-2.489605602,count,1.20E-26
SYT11,941,SYT11,OK,treatmentcontrol,-1.79714157,0.116109537,-15.47798411,4.96E-52,-2.479474753,count,1.77E-47
DDIT3,924,DDIT3,OK,treatmentcontrol,-1.769169963,0.159314366,-11.10489915,4.21E-28,-2.474430753,count,1.46E-23
PPP1R15A,606,PPP1R15A,OK,treatmentcontrol,-1.831416463,0.183808216,-9.963735612,5.02E-23,-2.452854145,count,1.72E-18
C1QL1,339,C1QL1,OK,treatmentcontrol,-1.910310406,0.274565263,-6.957582269,4.24E-12,-2.446833667,count,1.38E-07
SNHG15,847,SNHG15,OK,treatmentcontrol,-1.785062871,0.136543688,-13.0731995,5.13E-38,-2.434320984,count,1.80E-33
SELENOM,646,SELENOM,OK,treatmentcontrol,-1.79839249,0.144204818,-12.47109854,7.86E-35,-2.432041919,count,2.75E-30
TMEM158,268,TMEM158,OK,treatmentcontrol,-1.900891184,0.324158576,-5.864078024,5.01E-09,-2.417313252,count,0.000158435
BBC3,795,BBC3,OK,treatmentcontrol,-1.745737384,0.163259951,-10.6929922,3.27E-26,-2.389452021,count,1.13E-21
ZSCAN1,260,ZSCAN1,OK,treatmentcontrol,-2.203658102,0.292666066,-7.529598934,6.71E-14,-2.387044123,count,2.21E-09
TUBA4A,409,TUBA4A,OK,treatmentcontrol,-1.869152333,0.234428442,-7.973231899,2.18E-15,-2.364719842,count,7.25E-11
CD63,1569,CD63,OK,treatmentcontrol,-1.654367328,0.092974194,-17.79383347,2.18E-67,-2.36011214,count,7.85E-63
EBNA1BP2,762,EBNA1BP2,OK,treatmentcontrol,-1.708423693,0.123747367,-13.80573774,4.55E-42,-2.349286211,count,1.61E-37
SLC17A7,211,SLC17A7,OK,treatmentcontrol,-2.21041457,0.362188264,-6.102943656,1.18E-09,-2.341926111,count,3.74E-05
SDF2L1,228,SDF2L1,OK,treatmentcontrol,-2.074613443,0.291418587,-7.119015523,1.36E-12,-2.341764693,count,4.43E-08
SLC3A2,1187,SLC3A2,OK,treatmentcontrol,-1.655418156,0.119922662,-13.80404781,4.65E-42,-2.338611979,count,1.64E-37
CDKN1A,476,CDKN1A,OK,treatmentcontrol,-1.704986588,0.210409035,-8.103200459,7.74E-16,-2.310729913,count,2.58E-11
SNHG17,562,SNHG17,OK,treatmentcontrol,-1.757106248,0.180757664,-9.720784245,5.21E-22,-2.296056237,count,1.78E-17
EMC9,596,EMC9,OK,treatmentcontrol,-1.73814122,0.159114314,-10.92385205,2.90E-27,-2.291501819,count,1.00E-22
TSTA3,326,TSTA3,OK,treatmentcontrol,-1.891961267,0.231594188,-8.16929509,4.54E-16,-2.286357952,count,1.51E-11
CLIC1,546,CLIC1,OK,treatmentcontrol,-1.683537086,0.177654878,-9.476447267,5.19E-21,-2.272606413,count,1.77E-16
GRINA,584,GRINA,OK,treatmentcontrol,-1.709417463,0.145142873,-11.77748123,2.51E-31,-2.255366475,count,8.72E-27
AUP1,563,AUP1,OK,treatmentcontrol,-1.682051754,0.153979919,-10.92383843,2.90E-27,-2.213448727,count,1.00E-22
PTP4A3,359,PTP4A3,OK,treatmentcontrol,-1.740847004,0.236296431,-7.367216653,2.25E-13,-2.213370748,count,7.38E-09
DUSP4,340,DUSP4,OK,treatmentcontrol,-1.746007354,0.211565749,-8.252788393,2.30E-16,-2.212711098,count,7.67E-12
TSPO,445,TSPO,OK,treatmentcontrol,-1.673321448,0.176408025,-9.485517712,4.77E-21,-2.205133158,count,1.62E-16
SNHG12,443,SNHG12,OK,treatmentcontrol,-1.698322349,0.217247123,-7.817467631,7.42E-15,-2.188140127,count,2.46E-10
